,reg_error_vis,reg_error_all,sim_error_vis,sim_error_all,size,cover,sub,human_error_vis,human_error_all
0,12.10106844,0.899861832,-3.843305263,-22.80550842,decrease,L,0,3.44,-9.975
1,10.90303302,-5.868119739,5.286671401,-18.27203883,decrease,L,1,1.035,-12.375
2,11.7958378,-4.437968589,-2.619877133,-11.58221889,decrease,L,2,3.94,-9.475
3,16.70368154,0.837182602,-5.002496313,-26.34964605,decrease,L,3,16.15789474,2.247368421
4,19.18066156,-1.164857441,-0.756714719,-16.56965121,decrease,L,4,5.84,-7.575
5,3.635933953,-2.661940503,5.616345964,-15.67553527,decrease,L,5,6.94,-6.475
6,16.74047629,-0.745463923,5.932036738,-17.6223976,decrease,L,6,14.14,0.725
7,18.11322174,-4.36248299,-0.304830317,-17.30096876,decrease,L,7,4.885,-8.525
8,12.50096787,-4.60708056,-8.682819244,-14.28484795,decrease,L,8,2.685,-10.725
9,14.21741178,-1.579229093,-2.1126929,-12.98462993,decrease,L,9,-0.61,-14.025
10,17.32080794,9.698237048,-1.667290689,-12.49147796,decrease,L,10,12.29,-1.125
11,9.407749284,2.414903464,2.67811178,-14.08984244,decrease,L,11,8.04,-5.375
12,6.599927103,-6.152469929,-5.523791565,-21.38147029,decrease,L,12,3.435,-9.975
13,9.966116362,1.419109869,-6.887947406,-9.193623154,decrease,L,13,11.39,-2.025
14,27.5046516,2.222723598,-3.355010852,-16.42028175,decrease,L,14,10.09,-3.325
15,14.61488419,2.558899695,-6.933544171,-12.72050867,decrease,L,15,5.34,-8.075
16,13.66945892,1.511094095,1.685508353,-6.610616728,decrease,L,16,15.49,2.075
17,14.01017305,-2.292628873,-5.255462319,-14.51981833,decrease,L,17,8.99,-4.425
18,11.80962479,-3.085620739,-8.259184014,-17.51637539,decrease,L,18,6.39,-7.025
19,16.45975184,1.527196737,2.303601949,-14.23992384,decrease,L,19,5.89,-7.525
20,5.361039432,7.478155714,-0.200988505,1.892493486,decrease,M,0,11.395,10.475
21,-1.165171173,2.546915061,1.704910367,-4.622230918,decrease,M,1,0.095,-0.825
22,-2.605359955,-2.691513468,8.180689894,-6.392926742,decrease,M,2,4.19,3.275
23,-1.601759831,10.543236,3.110368036,-7.741310779,decrease,M,3,-3.255,-4.175
24,-4.159480103,3.622028474,-1.708377013,-1.181443099,decrease,M,4,4.495,3.575
25,2.379678006,-0.468129306,6.661276294,1.686498964,decrease,M,5,3.195,2.275
26,5.428674441,-2.531413937,-5.034688851,-0.524905,decrease,M,6,1.19,0.275
27,5.961225439,-3.572351315,-4.002833616,-5.090424954,decrease,M,7,0.945,0.025
28,-6.384884332,5.022050289,-4.269941178,7.168244397,decrease,M,8,3.89,2.975
29,3.045880675,-11.80403389,4.854589626,4.848536529,decrease,M,9,-0.455,-1.375
30,-1.785611891,2.948697477,5.011948757,0.530028189,decrease,M,10,5.195,4.275
31,2.902761259,2.41034652,-1.044650904,-1.691723973,decrease,M,11,0.24,-0.675
32,-5.508028005,6.765134366,-2.086258206,1.949464898,decrease,M,12,13.42105263,12.55263158
33,2.928015526,-0.835039461,-6.245868504,5.281368009,decrease,M,13,6.095,5.175
34,-1.119619994,4.436353317,0.754062545,1.708133855,decrease,M,14,9.045,8.125
35,1.191514012,2.739182907,4.372851924,4.716325807,decrease,M,15,10.595,9.675
36,5.098487155,-5.690257561,-3.331887519,1.15052069,decrease,M,16,4.745,3.825
37,-2.108837166,3.568438531,-1.783092055,-2.71827744,decrease,M,17,9.445,8.525
38,-5.852900014,-3.731591285,-6.51899497,4.142144577,decrease,M,18,1.595,0.675
39,2.994265559,2.322594693,7.002576649,-5.910595453,decrease,M,19,-2.26,-3.175
40,-7.041030916,-1.469140989,1.303150559,5.25322512,decrease,R,0,6.578947368,21.62631579
41,-18.31314083,-0.842558451,-3.195755923,24.80042311,decrease,R,1,-8.84,6.125
42,-12.21164065,-5.10964501,-8.147048327,9.997727584,decrease,R,2,-12.635,2.325
43,-11.78109518,-3.206522367,1.051962643,18.40689459,decrease,R,3,-18.74,-3.775
44,-13.37694838,15.48838676,-8.929861824,22.3707626,decrease,R,4,-7.04,7.925
45,-19.23330103,2.8780303,8.678173869,15.99476947,decrease,R,5,-0.935,14.025
46,-21.56916986,-1.259911312,8.066000398,19.14718112,decrease,R,6,-17.99,-3.025
47,-11.50398569,12.04211311,-2.017585917,10.20464003,decrease,R,7,-6.085,8.875
48,-12.81754907,-1.894677498,5.008005343,16.92111772,decrease,R,8,-6.735,8.225
49,-13.08322297,-0.480785198,4.229009209,20.59810178,decrease,R,9,-8.09,6.875
50,-19.68379779,14.18222337,12.52481714,11.96664332,decrease,R,10,-6.14,8.825
51,-15.26936397,-6.058699586,2.632716646,11.67376182,decrease,R,11,-9.54,5.425
52,-16.1338195,-1.903332253,3.653114187,23.69347288,decrease,R,12,1.865,16.825
53,-7.022826959,-2.779320079,3.419245478,20.97293399,decrease,R,13,-3.49,11.475
54,-4.848852959,-12.86459172,-12.15666778,24.16477082,decrease,R,14,1.11,16.075
55,-17.82408,-0.321742295,-10.65891296,14.38093581,decrease,R,15,3.065,18.025
56,-4.219226136,6.32459901,8.655548074,25.91055012,decrease,R,16,-11.74,3.225
57,-21.14457824,4.270436741,-9.245707221,20.71457196,decrease,R,17,-3.515789474,11.41578947
58,-3.513163226,0.447250452,0.925382485,14.69952972,decrease,R,18,-8.19,6.775
59,-20.18909598,1.570996354,1.823206742,19.45617508,decrease,R,19,-8.14,6.825
60,-23.04223169,6.008600723,-3.274236746,12.00065996,increase,L,0,2.684210526,19.71578947
61,-14.96067775,-4.937366279,-6.556493943,24.47126921,increase,L,1,-12.3,5.235
62,-0.927058478,9.966530089,-2.475872175,31.61064135,increase,L,2,-9.7,7.835
63,-6.696651991,1.301098688,2.172399702,13.79682012,increase,L,3,-28.9,-11.365
64,-18.90523599,-7.483593521,10.33543845,18.1777017,increase,L,4,-9.85,7.685
65,-2.009691016,5.090207246,3.050628372,6.090080059,increase,L,5,-4.5,13.035
66,-17.75728575,6.008704077,3.885592538,21.8595551,increase,L,6,-22.15,-4.615
67,-14.25377686,-4.505477746,-13.02090146,20.82541539,increase,L,7,-4.35,13.185
68,-22.60735536,12.96792095,8.323288994,13.12674013,increase,L,8,-8.9,8.635
69,-24.80049002,-9.78723055,-5.614057125,18.98180907,increase,L,9,-11.55,5.985
