,reg_error_vis,reg_error_all,sim_error_vis,sim_error_all,size,cover,sub,human_error_vis,human_error_all
58,2.461099917,3.308983939,9.738533948,8.874884737,decrease,R,16,-1.313388949,13.64901596
59,-24.73240703,-4.182701448,-24.36125611,37.76626602,decrease,R,17,-15.48005562,-0.517650707
60,-24.31346951,-3.109212712,0.580975785,1.936945128,decrease,R,18,-0.935787655,14.00353687
61,-11.50109022,-3.006714903,10.44185086,20.84659762,decrease,R,19,-3.413388949,11.54901596
63,5.113171481,12.74707446,14.04245783,30.02077795,increase,L,0,-11.28086211,3.795125218
64,-17.13923099,-4.434535818,9.108853977,-1.049403739,increase,L,1,-30.04752877,-14.97154145
65,-20.07399147,-22.14308535,-24.19764491,-2.178474225,increase,L,2,-3.247528774,11.82845855
66,-10.12263692,-19.25482618,7.538125198,30.62464253,increase,L,3,-8.847528774,6.228458551
67,-15.26141771,16.13330361,26.19054994,31.59414713,increase,L,4,2.452471226,17.52845855
68,-14.24190053,6.747992546,-16.04033408,-7.324208844,increase,L,5,-37.24752877,-22.17154145
69,-8.673158182,-8.343027008,16.48231373,-4.635212999,increase,L,6,4.185804559,19.26179188
70,-12.82383815,6.191528547,1.482033861,-2.851220916,increase,L,7,-10.31419544,4.761791885
71,-4.538622001,10.43273554,2.887509518,22.83371234,increase,L,8,-7.814195441,7.261791885
72,-1.023796832,7.197763282,-4.344429049,8.962628272,increase,L,9,-1.147528774,13.92845855
73,-6.174271945,-2.401092924,1.222256622,26.55092326,increase,L,10,-23.58086211,-8.504874782
74,-15.87811575,-4.910417401,16.7032905,20.00235766,increase,L,11,-1.347528774,13.72845855
75,-17.01005478,-13.24125375,7.78159924,32.80389251,increase,L,12,-25.41419544,-16.33820812
76,-10.5987747,11.87846525,11.00573943,15.3237554,increase,L,13,-23.61419544,-8.538208115
77,-33.99891073,26.61939923,-15.41167444,4.823579668,increase,L,14,-28.51419544,-13.43820812
78,-16.82936722,11.32210465,-6.51911233,36.7296296,increase,L,15,-28.08086211,-13.00487478
79,-22.59885514,0.248273958,-15.45722519,36.66323027,increase,L,16,-6.080862107,8.995125218
80,-11.57087981,-14.53508637,0.613786679,11.33811041,increase,L,17,-19.31419544,-4.238208115
81,-37.22922726,3.787556724,-10.95932687,19.80931289,increase,L,18,3.619137893,12.69512522
82,-26.26441453,-1.432377401,-26.75618943,-1.838150411,increase,L,19,1.719137893,16.79512522
84,-1.317902021,2.40211299,10.52100247,-2.943355596,increase,M,0,4.405090188,4.39054372
85,5.719024511,3.973195978,0.219994534,-0.458085899,increase,M,1,-6.454879001,-6.496814676
86,-2.389970202,-7.216725129,-1.66176849,6.520963986,increase,M,2,2.195444965,2.161791885
87,6.622850078,0.411900167,12.02130549,-4.151266807,increase,M,3,5.795444965,5.761791885
